id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
74199,13776,Gold and Glory: The Road to El Dorado,NULL,2000-12-15 00:00:00.000,3,NULL,NULL,NULL,NULL,NULL
74231,9060,Laser Arena,NULL,2000-09-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
74434,26815,NASCAR Racers,NULL,2000-11-21 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
74520,84468,Catechumen,NULL,2000-09-27 00:00:00.000,1,1,NULL,NULL,NULL,NULL
74826,78057,Cabela's Grand Slam Hunting: North American 29,NULL,2000-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
74855,141516,Karate Fighter,NULL,2000-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
74939,75475,King of Fighters: Battle de Paradise,NULL,2000-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
75022,1202,Tales of Eternia,"The game follows Reid Hershel as he tries to prevent the Grand Fall, a cataclysmic event that would destroy his planet along with that of newly found traveling companion Meredy. Specifically, the Grand Fall entails the violent collision of twin planets Inferia and Celestia. The two planets, face one another, separated by the Orbus Barrier. Interaction between the two planets has been infrequent over the last few centuries despite their proximity; the Bridge of Light linked Inferia and Celestia in the distant past, but the link has been severed for an extensive period of time. The Aurora War, an ancient conflict that set Inferia against Celestia over two thousand years ago, continues to generate persistent mistrust between the two groups. The Orbus Barrier has shown recent signs of weakening and possible collapse due to the actions of an unknown external force.  The journey takes Reid across both planets, as he seeks out those responsible for this movement towards the brink of annihilation.",2000-11-30 00:00:00.000,8,NULL,80.0000,1,80.5385,26
75358,14700,Fur Fighters,NULL,2000-06-23 00:00:00.000,NULL,NULL,70.0000,1,NULL,NULL
75371,73450,Deer Avenger 3D,NULL,2000-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
75905,49869,Xtreme Sports,NULL,2000-07-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
