id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count,id,game_id,genre_name
576,153126,Paradigm Shift,NULL,2021-05-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,560,153126,Adventure
578,31237,The Rabbit Hole,NULL,2017-05-26 00:00:00.000,1,NULL,NULL,NULL,60.0000,0,564,31237,Adventure
580,88176,RTAG rise,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,567,88176,Adventure
583,71099,Jo Guest in the Milk Round,NULL,1994-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,568,71099,Adventure
597,87270,Rescue the Enchanter,NULL,2016-12-20 00:00:00.000,NULL,NULL,NULL,NULL,90.0000,0,581,87270,Adventure
600,128328,Three Kingdoms Fantasy: Miss Meng and the Explosive Boy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,584,128328,Adventure
607,182810,Margareta,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,591,182810,Adventure
611,16588,Paradise Island,NULL,2015-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,595,16588,Adventure
619,119857,Room 208,"In the small quiet town of Fleetwood Vale, an old and historic hotel resides - it's history cemented in the minds of the local town residents. Now, tormented by numerous strange deaths, an EVIL has made claim to the building. Victor Rockford, a spiritual medium has been asked to use his otherworldly abilities to investigate the hotel in an aid stop the EVIL that resides in Room 208. Little did he know, what was waiting for him inside Room 208. Does Victor have what it takes to stop the EVIL? Or will the EVIL claim yet another victim?",2019-08-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,598,119857,Adventure
620,157257,Cat from the Box,NULL,2021-07-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,600,157257,Adventure
621,128843,Birds Are Real,NULL,2021-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,602,128843,Adventure
624,182797,A la Fenetre,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,606,182797,Adventure
628,70496,Mexican Motor Mafia,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,612,70496,Adventure
630,17469,Elea,"Voyager 1231 River Elea Catherine Jones regains consciousness to find herself locked down in her own cabin. Kazumi, the omniscient A.I. host of Pilgrimage II, is offline for the first time in mission history, keeping her blocked. It won’t be long before Elea realizes that everybody else has evacuated and she is left all alone on a Worldtree-class starship.  Playing as Elea, you will navigate the hallways, control rooms and ecosystems of Pilgrimage II, the ship set to colonize Solace, a yet unexplored Earth-like exoplanet. In order to save the ship and uncover the mystery behind the disappearance of pioneering mission Pilgrimage I 15 years ago, you’ll have to aid crippled Kazumi in fighting off an eccentric invasive intelligence that wants to take control, that has been waiting in the darkness of space, preparing...  As Elea explores clues and executes manual overrides to restore Kazumi’s hijacked virtual memory, she will slowly come to realize it’s the lapses in her own memory and the imprints of a personal tragedy that she must deal with first.",2018-09-06 00:00:00.000,7,6,NULL,NULL,70.0000,1,615,17469,Adventure
634,122144,Timothy and the Mysterious Forest,NULL,2019-09-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,620,122144,Adventure
636,135845,Dangeresque Roomisode 1: Behind the Dangerdesque,NULL,2008-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,623,135845,Adventure
647,59094,Divine Heart Karen SP Season 2: Sennyuu! Succubus no Into! Hen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,627,59094,Adventure
659,182807,Alien Afteflife,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,637,182807,Adventure
660,182812,Vigil,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,638,182812,Adventure
663,30886,Time Of Silence,NULL,2016-12-06 00:00:00.000,NULL,NULL,NULL,NULL,30.0000,0,641,30886,Adventure
666,192452,Nefarium,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,644,192452,Adventure
680,74048,Heart of the Dragon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,659,74048,Adventure
694,137188,The Adventures of Boxman,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,670,137188,Adventure
698,44146,Mama Russia Needs You,NULL,2018-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,672,44146,Adventure
704,182876,Piratiska Riba VR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,680,182876,Adventure
710,27341,Potioneer: The VR Gardening Simulator,NULL,2016-10-20 00:00:00.000,1,1,NULL,NULL,60.0000,0,693,27341,Adventure
713,34080,Metal Tales: Fury of the Guitar Gods,NULL,2016-11-18 00:00:00.000,1,NULL,NULL,NULL,70.0000,0,697,34080,Adventure
715,192440,Robot-X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,700,192440,Adventure
716,99790,Alawar Hidden Realms Bundle,NULL,2015-02-18 00:00:00.000,1,1,NULL,NULL,NULL,NULL,704,99790,Adventure
720,112899,The Pilgrimage I,NULL,2019-01-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,707,112899,Adventure
725,33115,Wrath of Anna,NULL,2016-09-20 00:00:00.000,1,NULL,NULL,NULL,70.0000,1,714,33115,Adventure
727,176297,Pirates Crew,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716,176297,Adventure
729,178284,Rubicon: A Conspiracy of Silence,NULL,2021-10-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,717,178284,Adventure
737,110610,Our Worst Fears,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,723,110610,Adventure
742,182824,The Skeld,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,727,182824,Adventure
747,45170,Secret Agent Barbie: Royal Jewels Mission,NULL,2002-11-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,730,45170,Adventure
761,127312,ROAD HOMEWARD: Open world,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,747,127312,Adventure
771,75085,Star Wars: The Best of PC,NULL,2006-11-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,749,75085,Adventure
778,176294,Mauritius Atoll,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,753,176294,Adventure
792,100240,Gai Travel,NULL,2018-05-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,763,100240,Adventure
800,180833,JianPo,NULL,2021-09-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,766,180833,Adventure
804,70645,Nami no Mani Mani - Sazanami Shinryoushou,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,768,70645,Adventure
806,117260,Warlord: Attrition,NULL,2020-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,773,117260,Adventure
811,122060,Mage Math,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,776,122060,Adventure
813,176295,Cardinal Ramship Pirate,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,778,176295,Adventure
